faculty_name,profile_url,cross_appointment,group_count,group_tags
Ashley Amson,https://uwaterloo.ca/public-health-sciences/profiles/ashley-amson,0,3,Researchers; Health policy and health systems researcher; Chronic disease prevention and management researcher
Kelly Anthony,https://uwaterloo.ca/public-health-sciences/profiles/kelly-anthony,0,1,Researchers
Geoff Bardwell,https://uwaterloo.ca/public-health-sciences/profiles/geoff-bardwell,0,3,Researchers; Health and environment researcher; Health policy and health systems researcher
Philip Bigelow,https://uwaterloo.ca/public-health-sciences/profiles/philip-bigelow,0,2,Researchers; Healthy workplaces researcher
Zahid A. Butt,https://uwaterloo.ca/public-health-sciences/profiles/zahid-butt,0,2,Health informatics researcher; Global health researcher
Ashok Chaurasia,https://uwaterloo.ca/public-health-sciences/profiles/ashok-chaurasia,0,2,Researchers; Health informatics researcher
Helen Chen,https://uwaterloo.ca/public-health-sciences/profiles/helen-chen,0,4,Researchers; Chronic disease prevention and management researcher; Health informatics researcher; Health policy and health systems researcher
Martin Cooke,https://uwaterloo.ca/public-health-sciences/profiles/martin-cooke,0,3,Researchers; Health and aging researcher; Health policy and health systems researcher
Warren Dodd,https://uwaterloo.ca/public-health-sciences/profiles/warren-dodd,0,5,"Researchers; Food and water safety, security and governance researcher; Global health researcher; Health and environment researcher; Health policy and health systems researcher"
Joel Dubin,https://uwaterloo.ca/public-health-sciences/profiles/joel-dubin,0,1,Researchers
Mark Ferro,https://uwaterloo.ca/public-health-sciences/profiles/mark-ferro,0,2,Researchers; Chronic disease prevention and management researcher
Peter A. Hall,https://uwaterloo.ca/public-health-sciences/profiles/peter-hall,0,4,Researchers; Chronic disease prevention and management researcher; Health and aging researcher; Health neuroscience and cognitive epidemiology researcher
David Hammond,https://uwaterloo.ca/public-health-sciences/profiles/david-hammond,0,4,Researchers; Chronic disease prevention and management researcher; Global health researcher; Health policy and health systems researcher
John Hirdes,https://uwaterloo.ca/public-health-sciences/profiles/john-hirdes,0,4,Researchers; Health and aging researcher; Health informatics researcher; Health policy and health systems researcher
Alexandra King,https://uwaterloo.ca/public-health-sciences/profiles/alexandra-king,0,3,Researchers; Chronic disease prevention and management researcher; Health policy and health systems researcher
Sharon Kirkpatrick,https://uwaterloo.ca/public-health-sciences/profiles/sharon-kirkpatrick,0,5,"Researchers; Chronic disease prevention and management researcher; Food and water safety, security and governance researcher; Health and environment researcher; Health policy and health systems researcher"
Brian Laird,https://uwaterloo.ca/public-health-sciences/profiles/brian-laird,0,4,"Researchers; Food and water safety, security and governance researcher; Global health researcher; Health and environment researcher"
Jane Law,https://uwaterloo.ca/public-health-sciences/profiles/jane-law,0,6,"Researchers; Chronic disease prevention and management researcher; Food and water safety, security and governance researcher; Health and aging researcher; Health and environment researcher; Health policy and health systems researcher"
Scott Leatherdale,https://uwaterloo.ca/public-health-sciences/profiles/scott-leatherdale,0,2,Researchers; Chronic disease prevention and management researcher
Lili Liu,https://uwaterloo.ca/public-health-sciences/profiles/lili-liu,0,5,Researchers; Health and aging researcher; Health and environment researcher; Health informatics researcher; Health policy and health systems researcher
Hao Luo,https://uwaterloo.ca/public-health-sciences/profiles/hao-luo,0,3,Researchers; Health informatics researcher; Health and aging researcher
Ellen MacEachen,https://uwaterloo.ca/public-health-sciences/profiles/ellen-maceachen,0,4,Researchers; Chronic disease prevention and management researcher; Health policy and health systems researcher; Healthy workplaces researcher
Shannon E. Majowicz,https://uwaterloo.ca/public-health-sciences/people-profiles/shannon-majowicz,0,3,"Researchers; Food and water safety, security and governance researcher; Health and environment researcher"
Carrie McAiney,https://uwaterloo.ca/public-health-sciences/profiles/carrie-mcainey,0,2,Researchers; Health and aging researcher
Samantha Meyer,https://uwaterloo.ca/public-health-sciences/profiles/samantha-meyer,0,4,"Researchers; Chronic disease prevention and management researcher; Food and water safety, security and governance researcher; Health policy and health systems researcher"
John G. Mielke,https://uwaterloo.ca/public-health-sciences/profiles/john-g-mielke,0,6,Researchers; Chronic disease prevention and management researcher; Health and aging researcher; Health and environment researcher; Health neuroscience and cognitive epidemiology researcher; Healthy workplaces researcher
Plinio Morita,https://uwaterloo.ca/public-health-sciences/profiles/plinio-morita,0,9,"Researchers; Chronic disease prevention and management researcher; Food and water safety, security and governance researcher; Global health researcher; Health and aging researcher; Health and environment researcher; Health informatics researcher; Health policy and health systems researcher; Healthy workplaces researcher"
Elena Neiterman,https://uwaterloo.ca/public-health-sciences/profiles/elena-neiterman,0,1,Researchers
Hannah Neufeld,https://uwaterloo.ca/public-health-sciences/profiles/hannah-neufeld,0,4,"Researchers; Food and water safety, security and governance researcher; Global health researcher; Health and environment researcher"
Charity Oga-Omenka,https://uwaterloo.ca/public-health-sciences/profiles/charity-oga-omenka,0,3,Researchers; Global health researcher; Health policy and health systems researcher
Mark Oremus,https://uwaterloo.ca/public-health-sciences/people-profiles/mark-oremus,0,3,Researchers; Health and aging researcher; Health neuroscience and cognitive epidemiology researcher
Chris Perlman,https://uwaterloo.ca/public-health-sciences/profiles/chris-perlman,0,2,Researchers; Health policy and health systems researcher
Kelly Skinner,https://uwaterloo.ca/public-health-sciences/people-profiles/kelly-skinner,0,4,"Researchers; Chronic disease prevention and management researcher; Food and water safety, security and governance researcher; Health and environment researcher"
Abel Torres Espin,https://uwaterloo.ca/public-health-sciences/profiles/abel-torres-espin,0,4,Researchers; Health informatics researcher; Chronic disease prevention and management researcher; Health neuroscience and cognitive epidemiology researcher
Suzanne Tyas,https://uwaterloo.ca/public-health-sciences/profiles/suzanne-tyas,0,4,Researchers; Chronic disease prevention and management researcher; Health and aging researcher; Health neuroscience and cognitive epidemiology researcher
James Wallace,https://uwaterloo.ca/public-health-sciences/profiles/james-wallace,0,2,Researchers; Health informatics researcher
Diane Williams,https://uwaterloo.ca/public-health-sciences/profiles/diane-williams,0,2,Researchers; Health neuroscience and cognitive epidemiology researcher
Jennifer Yessis,https://uwaterloo.ca/public-health-sciences/profiles/jennifer-yessis,0,2,Researchers; Chronic disease prevention and management researcher
